State,Politician,Net approval,Biden net approval,Sample size,Affiliation,Adjusted net approval
Florida,Ron DeSantis,0.15166666666666667,-0.0775,273537,R,0.07416666666666667
Georgia,Brian Kemp,0.1,-0.0525,104977,R,0.04750000000000001
New Hampshire,Chris Sununu,0.33,-0.07375,16092,R,0.25625000000000003
South Dakota,Kristi Noem,0.185,-0.2725,8216,R,-0.08750000000000002
Texas,Greg Abbott,0.1075,-0.1075,206269,R,0
Virginia,Glenn Youngkin,0.1925,-0.005000000000000001,86648,R,0.1875
United States,Donald Trump,-0.129,-0.093,NA,R,-0.036
