State,Electoral votes,Home state edge,Last Democratic win,Last Republican win
Georgia,16,16,2022,2022
Texas,40,2.66666666666667,1994,2022
Florida,30,10,2018,2022
South Dakota,3,0.375,2008,2022
Virginia,13,8.66666666666667,2022,2021
New Hampshire,4,4,2022,2022
South Carolina,9,1,2006,2022
Indiana,11,1.83333333333333,2012,2022
North Dakota,3,0.5,2012,2022
Ohio,17,5.66666666666667,2018,2022
New Jersey,14,2.54545454545455,2022,2013
Arkansas,6,0.6,2004,2022
