poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,imputed_sample_size,politician_id,politician,favorable,unfavorable,alternate_answers,very_favorable,somewhat_favorable,somewhat_unfavorable,very_unfavorable,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181635,2103,rv,,rv,,9/15/23 20:51,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,11,Donald Trump,44,50,6,26,18,12,38,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181637,2103,rv,,rv,,9/15/23 20:51,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,25,Mike Pence,34,49,17,10,25,26,23,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181639,2103,rv,,rv,,9/15/23 20:51,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,42,Joe Biden,41,52,8,18,22,15,38,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181645,2103,rv,,rv,,9/15/23 20:51,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,6657,Nikki Haley,36,30,34,12,25,16,14,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181647,2103,rv,,rv,,9/15/23 20:52,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,2712,Tim Scott,31,26,42,11,21,14,12,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181649,2103,rv,,rv,,9/15/23 20:52,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,3084,Ron DeSantis,38,42,20,13,25,15,27,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181651,2103,rv,,rv,,9/15/23 20:52,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,19009,Vivek G. Ramaswamy,36,30,34,14,22,13,17,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181653,2103,rv,,rv,,9/15/23 20:52,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,3846,Marianne Williamson,19,25,57,7,12,14,11,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181655,2103,rv,,rv,,9/15/23 20:52,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,19014,Robert F. Kennedy,44,29,26,13,31,16,13,
84165,1797,HarrisX/Harris Poll,763,Harvard CAPS,HarrisX/Harris Poll,133,Harris Insights & Analytics,B,Online Panel,,9/13/23,9/14/23,,,,181657,2103,rv,,rv,,9/15/23 20:52,,https://harvardharrispoll.com/wp-content/uploads/2023/09/HHP_Sept23_KeyResults.pdf,,false,,2103,6597,Asa Hutchinson,18,26,55,4,14,15,11,
