State,Year,Contest,R,D,T
Florida,2022,US Senate,4474847,3201522,7676369
Florida,2022,Governor,4614210,3106313,7720523
Florida,2022,Attorney General,4651376,3025959,7677335
Florida,2022,Chief Financial Officer,4528909,3085711,7614620
Florida,2022,Commissioner of Agriculture,4510644,3095786,7606430
Florida,2022,US House,4271296,2905713,7332696.99570815
